date,RQ1_SQ1,RQ1_SQ2,RQ1_SQ3,RQ1_SQ4,RQ1_SQ5,RQ2_SQ1,RQ2_SQ2,RQ2_SQ3,RQ2_SQ4,RQ2_SQ5,RQ3_SQ1,RQ3_SQ2,RQ3_SQ3,RQ3_SQ4,RQ3_SQ5,RQ4_SQ1,RQ4_SQ2,RQ4_SQ3,RQ4_SQ4,RQ4_SQ5,RQ5_SQ1,RQ5_SQ2,RQ5_SQ3,RQ5_SQ4,RQ5_SQ5
1963-09-10,0.00567325,0.00159410,0.00649025,0.01463445,0.00645770,0.00510750,0.00207810,-0.00054360,0.00746410,0.00919685,0.00168615,0.00648750,0.00458815,0.00685315,0.00285900,0.00364545,0.00584625,0.00610985,0.00844290,0.00508665,-0.00341215,0.00166930,0.00355085,0.00506410,0.01046125
1963-09-11,0.00024880,-0.00172360,0.00304335,0.00590350,0.00219775,0.00429655,-0.00033090,0.00047050,0.00111455,0.00028645,-0.00115180,-0.00028250,0.00049435,0.00808295,0.01100510,0.00124610,0.00630130,0.00244295,0.00072345,-0.00424790,0.00042110,0.00277905,-0.00195760,0.00059875,0.00051880
1963-09-12,-0.00478230,-0.00264605,-0.00118140,-0.00293670,-0.00097420,-0.00117005,0.00557035,-0.00043745,0.00029550,-0.00191150,-0.00385965,-0.00070010,0.00711430,-0.00166215,-0.00326225,0.00364955,-0.00182365,0.00129070,-0.00090540,-0.00235060,0.00073710,-0.00176700,0.00156760,-0.00516340,0.00053135
1963-09-13,0.00260795,0.00470705,0.00014255,-0.00046015,-0.00467940,-0.00085720,-0.00255940,0.00190605,0.00249745,0.00629905,-0.00166310,-0.00055390,-0.00338990,-0.00387775,0.00364585,-0.00061960,0.00019080,-0.00027695,0.00173280,0.00316325,-0.00284585,0.00179345,0.00108635,0.00092060,0.00306630
1963-09-16,0.00095035,-0.00027680,-0.00360015,-0.00348180,-0.00515910,-0.00612965,-0.00380755,-0.00038860,-0.00136220,-0.00721810,-0.00344810,-0.00313245,0.00127455,-0.00197110,0.00241760,-0.00289870,-0.00164055,0.00296310,-0.00100680,0.00381865,0.00057535,-0.00052200,0.00035415,-0.00054105,0.00104095
1963-09-17,0.00175625,-0.00097930,-0.00093820,-0.00546270,-0.00035590,0.00263175,0.00240295,0.00104965,0.00178590,-0.00763040,0.00129890,-0.00182345,0.00037975,0.00034340,-0.00136490,0.00247045,-0.00054270,0.00167050,0.00022210,0.00313420,-0.00005660,0.00149300,-0.00135920,-0.00070195,0.00409425
1963-09-18,-0.00373025,-0.00534620,-0.00370570,-0.00204045,-0.00382020,-0.00325720,-0.00224575,-0.00132365,-0.00551020,-0.00232710,-0.00166940,-0.00266035,-0.00263665,-0.00220295,-0.00649060,-0.00228025,-0.00204390,-0.00622465,-0.00508210,-0.00428095,-0.00594300,-0.00406550,-0.00291510,-0.00259640,-0.00724660
1963-09-19,-0.00017145,0.00357205,0.00563980,0.00657770,0.00814380,-0.00008790,0.00565320,0.00566770,0.00025870,0.00379030,0.00300770,0.00429925,0.00684350,0.00470035,0.00471905,0.00552765,0.00314605,0.00616825,0.00508400,0.00890385,0.00049605,0.00012145,0.00492075,0.00477875,0.00978180
1963-09-20,-0.00203825,-0.00182190,-0.00550280,-0.00141855,-0.00071355,0.00144055,0.00168215,-0.00036585,0.00046585,-0.00645985,0.00034520,-0.00501275,-0.00101630,0.00011895,0.00236945,0.00077480,-0.00024290,0.00072760,-0.00213550,0.00517020,-0.00317645,-0.00289710,0.00117340,0.00052705,0.00910895
1963-09-23,-0.01088065,-0.01009110,-0.00547130,-0.00664215,-0.00662720,-0.00384970,-0.00200990,-0.00651060,-0.00594935,-0.01429255,-0.00591030,-0.00763700,-0.00400970,-0.00727580,-0.00273385,-0.00435790,-0.00074515,-0.00385670,-0.00548340,-0.00464085,-0.00360885,-0.00467020,-0.00749575,-0.01089595,-0.00511285
1963-09-24,0.00134995,-0.00059350,-0.00519665,-0.00179410,-0.00186730,0.00118360,0.00158455,0.00100630,0.00147755,-0.00217430,0.00155780,-0.00070880,-0.00275565,0.00531050,-0.00101695,0.00308380,0.00159340,0.00258300,-0.00340245,-0.00323355,0.00380515,0.00049945,0.00148740,-0.00147875,0.00721720
1963-09-25,-0.00753470,-0.00564665,-0.00608490,-0.01089930,-0.00025515,-0.00407465,-0.00369840,-0.00450120,-0.00710845,-0.00671695,-0.00492740,-0.00526940,-0.00637780,-0.00725315,-0.01238325,-0.00607830,-0.00568545,-0.01059330,-0.00597365,-0.01448250,-0.00380505,-0.00392545,-0.00769745,-0.00614525,-0.00623185
1963-09-26,-0.00730350,-0.00364935,-0.00699245,-0.00874420,-0.00828645,-0.00275715,-0.00416845,-0.00583205,-0.00754215,-0.00785110,-0.00821385,-0.00427480,-0.00938650,-0.00559435,-0.01839775,-0.00421650,-0.00147440,-0.00533410,-0.00981215,-0.01039490,-0.00360745,-0.00507540,-0.00804870,-0.00426305,-0.01339715
1963-09-27,0.00097875,-0.00052215,0.00442335,0.00233665,-0.00166665,-0.00207140,-0.00376505,0.00214455,0.00051740,-0.00192255,-0.00180535,0.00212840,0.00025310,0.00150175,-0.00286880,-0.00205805,-0.00104450,0.00058155,-0.00188375,-0.00211235,-0.00269605,-0.00246540,-0.00011515,-0.00070690,-0.00569800
1963-09-30,-0.00163135,-0.00284860,-0.00065850,-0.00755445,-0.00244725,-0.00271550,-0.00109840,-0.00243785,-0.00281810,-0.00886280,0.00134295,-0.00264570,-0.00765035,-0.00739690,-0.00594005,-0.00627735,-0.00516500,-0.00600760,-0.00578310,-0.00186360,-0.00401830,-0.00724460,-0.00750735,0.00018675,-0.00564625
1963-10-01,0.00223140,0.00939710,0.00189535,0.00424315,0.00495380,0.00347435,0.00321010,0.00568320,0.00447425,0.00354480,0.00180755,0.00140445,0.00703470,0.00875290,-0.00101230,0.00433255,0.00307815,0.00594460,0.00798260,0.00373960,0.00184385,0.00598875,0.00551385,0.00639330,0.00975795
1963-10-02,-0.00040850,0.00223070,0.00431030,-0.00044695,0.00022970,-0.00131625,-0.00011610,-0.00205770,0.00185825,0.00201820,0.00370265,-0.00156145,-0.00159490,0.00207280,0.00482845,0.00126850,-0.00003280,-0.00284355,-0.00151065,-0.00275150,0.00427350,0.00448865,0.00193865,-0.00067270,-0.00609165
1963-10-03,0.01303415,0.00545730,0.01031095,0.00570230,0.00972025,0.00302815,0.00553060,-0.00089240,0.00538590,0.01193030,0.00137795,0.00591075,0.00746015,0.00482515,0.01303815,0.00435620,-0.00005320,0.00857725,0.01400330,0.00714025,0.00206605,0.00309835,0.01491310,0.01090905,0.01418680
