date,factor_TS,factor_PRET,factor_R2
1971-03-11,0.00340770,-0.00141158,0.00078107
1971-03-12,0.00235428,0.00048470,0.00114891
1971-03-15,0.00749723,0.00548626,-0.00313476
1971-03-16,0.01301912,0.00419439,-0.00167874
1971-03-17,0.00644237,0.00123565,0.00050049
1971-03-18,0.00624332,0.00305082,-0.00168654
1971-03-19,0.00173701,-0.00212918,0.00176811
1971-03-22,0.00728867,0.00065841,0.00056051
1971-03-23,-0.00371244,-0.00260290,0.00187052
1971-03-24,0.00068114,-0.00147948,0.00174924
1971-03-25,-0.00392266,-0.00151274,0.00099383
1971-03-26,-0.00256497,-0.00049701,-0.00027787
1971-03-29,0.00428503,0.00156198,-0.00095041
1971-03-30,-0.00469323,-0.00349695,0.00293762
1971-03-31,0.00004275,-0.00125626,0.00107994
1971-04-01,0.00136096,-0.00081790,0.00113849
1971-04-02,0.00176883,0.00094770,-0.00016071
1971-04-05,-0.00567270,-0.00184596,-0.00013089
1971-04-06,-0.00297788,-0.00106495,-0.00036049
1971-04-07,0.00571242,0.00040520,0.00017753
1971-04-08,0.00234485,0.00110932,-0.00072491
1971-04-12,-0.00074401,-0.00072570,0.00041041
1971-04-13,-0.00240465,-0.00219157,0.00287153
1971-04-14,0.00267611,0.00560925,-0.00183482
1971-04-15,0.00404774,0.00352748,-0.00369327
1971-04-16,0.00469211,0.00395425,-0.00176411
1971-04-19,0.00243613,0.00047642,0.00033731
1971-04-20,0.00355323,-0.00027684,-0.00074327
1971-04-21,-0.00552280,-0.00432301,0.00178979
1971-04-22,-0.00452343,-0.00360302,0.00473683
1971-04-23,-0.00120344,-0.00209295,0.00288551
1971-04-26,-0.00755018,-0.00331373,0.00011674
1971-04-27,0.00024714,0.00041062,0.00375677
1971-04-28,0.00521208,0.00370328,0.00121175
1971-04-29,0.00354042,0.00271432,-0.00264066
1971-04-30,-0.00429282,-0.00204270,-0.00173691
1971-05-03,-0.00160792,-0.00019171,-0.00038062
1971-05-04,-0.00242252,-0.00003635,0.00126450
1971-05-05,0.00165793,-0.00045242,-0.00062839
1971-05-06,0.00176775,0.00049217,-0.00109613
1971-05-07,-0.00025974,0.00041907,-0.00110898
1971-05-10,0.00132200,-0.00010729,-0.00164354
1971-05-11,-0.00721511,-0.00534223,0.00192134
1971-05-12,-0.00730636,-0.00588218,0.00310492
1971-05-13,-0.00056500,-0.00274424,0.00146526
1971-05-14,-0.00104155,-0.00101272,-0.00162504
1971-05-17,0.00937848,0.00770825,-0.00450615
1971-05-18,0.00119222,0.00188648,-0.00059186
1971-05-19,-0.00422304,-0.00347285,0.00108091
1971-05-20,-0.00133246,-0.00160057,0.00090406
1971-05-21,-0.00006281,-0.00075854,-0.00104606
1971-05-24,0.00333643,0.00052641,-0.00122774
1971-05-25,-0.00266396,-0.00309770,-0.00085792
1971-05-26,-0.00296108,-0.00274852,0.00017249
1971-05-27,-0.00095544,-0.00143303,-0.00090355
1971-05-28,-0.00308587,-0.00364701,0.00002171
1971-06-01,-0.00823000,-0.00769357,0.00170054
1971-06-02,-0.00860573,-0.00729296,0.00381888
1971-06-03,-0.00046698,-0.00199248,0.00140503
1971-06-04,-0.00127599,-0.00280080,0.00037812
1971-06-07,0.00208870,0.00131853,-0.00019289
1971-06-08,0.00155260,0.00170345,-0.00252256
1971-06-09,-0.00361970,-0.00351170,0.00080344
1971-06-10,-0.00232751,-0.00147031,-0.00061163
1971-06-11,0.00014391,-0.00066118,-0.00048075
1971-06-14,0.00431318,0.00169379,-0.00233639
1971-06-15,-0.00124260,-0.00002069,0.00113826
1971-06-16,-0.00562847,-0.00370041,0.00120301
1971-06-17,-0.00061967,-0.00162906,-0.00090480
1971-06-18,0.01399454,0.00834259,-0.00671472
1971-06-21,0.00649322,0.00274983,-0.00246555
1971-06-22,0.00130517,0.00138104,0.00045974
1971-06-23,-0.00860541,-0.00597878,0.00632411
1971-06-24,0.00137731,0.00014230,-0.00043595
1971-06-25,-0.00135301,-0.00164418,-0.00180474
1971-06-28,-0.00421391,-0.00320668,0.00065343
1971-06-29,-0.00843141,-0.00406385,0.00268107
1971-06-30,-0.00312456,-0.00201352,0.00262382
1971-07-01,0.00382789,0.00199448,-0.00131651
1971-07-02,0.00146559,0.00161634,0.00110250
1971-07-06,-0.00082499,-0.00069297,0.00379744
1971-07-07,-0.00764720,-0.00481722,0.00140647
1971-07-08,-0.00011641,-0.00007527,0.00020439
1971-07-09,-0.00218106,-0.00276674,0.00081408
1971-07-12,0.00270288,0.00081197,-0.00179297
1971-07-13,0.00662951,0.00263907,-0.00408985
